locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAICOJHJ_00001	CDS	459				hypothetical protein
CAICOJHJ_00002	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
CAICOJHJ_00003	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
CAICOJHJ_00004	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
CAICOJHJ_00005	CDS	297				hypothetical protein
CAICOJHJ_00006	CDS	777				hypothetical protein
CAICOJHJ_00007	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
CAICOJHJ_00008	CDS	954	talB	2.2.1.2	COG0176	Transaldolase B
CAICOJHJ_00009	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
CAICOJHJ_00010	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
CAICOJHJ_00011	CDS	714				hypothetical protein
CAICOJHJ_00012	CDS	405				hypothetical protein
CAICOJHJ_00013	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
CAICOJHJ_00014	CDS	1131	dnaJ_1		COG0484	Chaperone protein DnaJ
CAICOJHJ_00015	CDS	153	hokC_1			Toxic protein HokC
CAICOJHJ_00016	CDS	291				hypothetical protein
CAICOJHJ_00017	CDS	762				hypothetical protein
CAICOJHJ_00018	CDS	1494	atsA_1	3.1.6.1	COG3119	Arylsulfatase
CAICOJHJ_00019	CDS	1260				hypothetical protein
CAICOJHJ_00020	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
CAICOJHJ_00021	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
CAICOJHJ_00022	CDS	264	rpsT		COG0268	30S ribosomal protein S20
CAICOJHJ_00023	CDS	942	ribF		COG0196	Riboflavin biosynthesis protein RibF
CAICOJHJ_00024	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
CAICOJHJ_00025	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
CAICOJHJ_00026	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
CAICOJHJ_00027	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
CAICOJHJ_00028	CDS	192	rihC_1	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
CAICOJHJ_00029	CDS	714	rihC_2	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
CAICOJHJ_00030	CDS	366				hypothetical protein
CAICOJHJ_00031	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
CAICOJHJ_00032	CDS	1149	carA_1	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
CAICOJHJ_00033	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
CAICOJHJ_00034	CDS	396				hypothetical protein
CAICOJHJ_00035	CDS	591	yrdA_1		COG0663	Protein YrdA
CAICOJHJ_00036	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
CAICOJHJ_00037	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
CAICOJHJ_00038	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
CAICOJHJ_00039	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
CAICOJHJ_00040	CDS	1515	caiT		COG1292	L-carnitine/gamma-butyrobetaine antiporter
CAICOJHJ_00041	CDS	771	fixA_1		COG2086	Protein FixA
CAICOJHJ_00042	CDS	435	fixB_1		COG2025	Protein FixB
CAICOJHJ_00043	CDS	420	fixB_2		COG2025	Protein FixB
CAICOJHJ_00044	CDS	1287		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
